run,model,C,accuracy,precision,recall,f1
1,LogReg,0.5,0.808,0.8097345132743363,0.8052,0.8074608904933814
1,RandomForest,0.5,0.7409,0.7422079227830284,0.7382,0.7401985360473278
1,AdaBoost,0.5,0.7376,0.7488479262672811,0.715,0.7315326376099857
1,LSTM,0.5,0.7845,0.7671361502347418,0.817,0.7912832929782082
2,LogReg,1.0,0.8075,0.8092939046469523,0.8046,0.8069401263664627
2,RandomForest,1.0,0.7382,0.7371565113500598,0.7404,0.738774695669527
2,AdaBoost,1.0,0.7376,0.7488479262672811,0.715,0.7315326376099857
2,LSTM,1.0,0.7869,0.7951038880888706,0.773,0.7838961565764121
3,LogReg,5.0,0.8072,0.8088057901085646,0.8046,0.8066974132745137
3,RandomForest,5.0,0.7367,0.7379851196460889,0.734,0.7359871653464354
3,AdaBoost,5.0,0.7376,0.7488479262672811,0.715,0.7315326376099857
3,LSTM,5.0,0.7804,0.8203839122486288,0.718,0.7657849829351536
4,LogReg,10.0,0.8069,0.8083182640144665,0.8046,0.8064548461461362
4,RandomForest,10.0,0.741,0.7431396287328491,0.7366,0.7398553635998393
4,AdaBoost,10.0,0.7376,0.7488479262672811,0.715,0.7315326376099857
4,LSTM,10.0,0.7612,0.8587912087912087,0.6252,0.7236111111111111
5,LogReg,2.0,0.807,0.8087288817377313,0.8042,0.8064580826313679
5,RandomForest,2.0,0.7412,0.7428513894482481,0.7378,0.7403170780654225
5,AdaBoost,2.0,0.7376,0.7488479262672811,0.715,0.7315326376099857
5,LSTM,2.0,0.7652,0.7131147540983607,0.8874,0.7907681340224559
6,LogReg,0.1,0.8099,0.8123362225357791,0.806,0.8091557072583074
6,RandomForest,0.1,0.7408,0.7415730337078652,0.7392,0.7403846153846154
6,AdaBoost,0.1,0.7376,0.7488479262672811,0.715,0.7315326376099857
6,LSTM,0.1,0.7842,0.758645795413178,0.8336,0.794358681151134
7,LogReg,0.05,0.8104,0.8136620856911884,0.8052,0.8094089264173703
7,RandomForest,0.05,0.7356,0.7344745222929936,0.738,0.7362330407023144
7,AdaBoost,0.05,0.7376,0.7488479262672811,0.715,0.7315326376099857
7,LSTM,0.05,0.7737,0.8192209003965477,0.7024,0.7563260471627006
8,LogReg,0.01,0.8094,0.8115183246073299,0.806,0.8087497491471002
8,RandomForest,0.01,0.7405,0.7438653417156763,0.7336,0.7386970093646158
8,AdaBoost,0.01,0.7376,0.7488479262672811,0.715,0.7315326376099857
8,LSTM,0.01,0.7811,0.7528332433890987,0.837,0.7926887015815892
