run,param_C,model,accuracy,f1
1,2.0,LogisticRegression,0.9044,0.9049134672767057
1,2.0,RandomForest,0.8535,0.8522142640976496
1,2.0,AdaBoost,0.7625,0.7767227601767416
2,5.0,LogisticRegression,0.9064,0.9067729083665339
2,5.0,RandomForest,0.8533,0.8522807370858927
2,5.0,AdaBoost,0.7625,0.7767227601767416
3,1.0,LogisticRegression,0.9018,0.902443870454997
3,1.0,RandomForest,0.8556,0.8548160064347476
3,1.0,AdaBoost,0.7625,0.7767227601767416
4,10.0,LogisticRegression,0.9027,0.9031165986259085
4,10.0,RandomForest,0.8576,0.8566539158445742
4,10.0,AdaBoost,0.7625,0.7767227601767416
5,0.5,LogisticRegression,0.8979,0.8990807551645745
5,0.5,RandomForest,0.855,0.8542713567839196
5,0.5,AdaBoost,0.7625,0.7767227601767416
6,0.1,LogisticRegression,0.8814,0.8840664711632453
6,0.1,RandomForest,0.8549,0.8535674639216874
6,0.1,AdaBoost,0.7625,0.7767227601767416
7,0.05,LogisticRegression,0.8716,0.8750729713952131
7,0.05,RandomForest,0.856,0.8546042003231018
7,0.05,AdaBoost,0.7625,0.7767227601767416
8,0.01,LogisticRegression,0.8541,0.858829221093372
8,0.01,RandomForest,0.8561,0.8548077893249925
8,0.01,AdaBoost,0.7625,0.7767227601767416
